PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RUN AREA,PASS ZONE,GN/LS,RESULT,OFF FORM,OFF PLAY,comments,DEF FRONT,S ALIGN,COVERAGE,BLITZ,comments2,QTR,OPP TEAM
79,O,2,16,L,-29,Run,P-R,,4,Rush,DOUBLES,10 TRAP,,42,2HI,C3,,,,University of Puget Sound
91,O,1,10,L,-20,Run,P-R,,1,Rush,TRIO,10 TRAP,,33,1HI,C3,5I,,,Pacific Lutheran University
110,O,1,10,L,-15,Run,,,-1,Rush,TRIO,10 TRAP,,33,1HI,C3,5I,,,Pacific Lutheran University
22,O,1,6,,6,Run,,,6,TD,DOUBLES,10 TRAP,,52,0,ZERO,,,,Lewis & Clark College
6,O,1,10,M,37,Run,P-L,,4,Rush,DOUBLES,11 TRAP,,32,2HI,C4,,,,University of Puget Sound
43,O,1,10,R,45,Run,P-R,,4,Rush,TRIO,11 TRAP,,42,1HI,C1,4R,,,University of Puget Sound
98,O,1,10,R,30,Run,P-L,,10,Rush,DOUBLES,11 TRAP,,33,1HI,C3,6I,,,Pacific Lutheran University
82,O,1,10,R,-22,Run,P-L,,-1,Rush,TRIO,11 TRAP,,33,2HI,C3,4I,,,Linfield College
66,O,3,6,L,-11,Pass,,4,21,Complete,50,52 IDAHO,EXP,33,2HI,3ROLL,4L,,2,George Fox University
112,O,3,11,L,-14,Pass,,4,0,Incomplete,50,52 IDAHO,,33,1HI,C3,5L,,,Pacific Lutheran University
7,O,3,16,L,33,Pass,,3,0,Incomplete,50,52 IDAHO,,33,2HI,C2,4I,,,Pacific University
36,O,1,10,L,49,Pass,,3,6,Complete,50,52 IDAHO,,42,2HI,C4,,,,Chapman University
26,O,2,10,L,41,Pass,,,5,Penalty,50,52 VANDAL,,42,2HI,3ROLL,,,1,George Fox University
160,O,3,30,R,42,Pass,,,-8,Sack,50,52 VANDAL,,33,2HI,C4,4I,,3,George Fox University
24,O,3,13,M,-28,Pass,,7,,Interception,50,52 VANDAL,,32,2HI,2MAN,,DALLAS,,Linfield College
112,O,3,8,M,-8,Pass,,,2,Scramble,50,52 VANDAL,,51,1HI,C3,,,,Chapman University
17,O,2,10,L,25,Pass,,7,20,Complete,50,52 VANDAL,,42,0,ZERO,6I,,,University of La Verne
193,O,3,26,L,-30,Pass,,7,21,Complete,50,52 VANDAL,,42,2HI,OVER,,,,University of La Verne
123,O,2,8,R,-41,Pass,,1,9,Complete,50,53 OREGON SAXON,,41,2HI,3ROLL,,,,Linfield College
106,O,1,20,R,-30,Pass,,3,13,Complete,50,54 IDAHO,,42,2HI,3ROLL,,,,Whittier College
111,O,3,20,L,-43,Pass,,6,0,Incomplete,TRIO,88 C1,,42,2HI,C4,,,2,George Fox University
73,O,2,15,,-14,Pass,,,0,,DEUCE,88 C1,,42,1HI,C2,,,,Linfield College
74,O,3,15,,-14,Pass,,,0,,DEUCE,88 C1,,32,1HI,21,4I,,,Linfield College
142,O,2,8,L,-43,Pass,,6,12,Complete,TRIO,88 C1,,42,1HI,C2,,,,Chapman University
38,O,3,8,L,39,Pass,,6,0,Incomplete,TRIO,88 C3,,41,2HI,2MAN,,,,Whittier College
